club_name,variations,short_name,bg_color,text_color
א.ס רמה"ש,"א.ס רמה""ש ירק השדה|א.ס רמה&quot;ש ירק השדה|א.ס. רמת השרון|א.ס. רמת השרון גל",א.ס רמה"ש,#000000,#FFFFFF
א.ס. עירוני אשקלון,"א.ס. עירוני אשקלון|אליצור מכבי ע.אשקלון",עירוני אשקלון,#FF8000,#FFFFFF
אליצור יבנה,"אליצור יבנה|אליצור יבנה דנן|אליצור יבנה דבורה|אליצור יבנה שמשון|אליצור יבנה אופק|אליצור דוד יבנה|אליצור יבנה שרה",אליצור יבנה,#FFFF00,#003399
אס"א ירושלים,"אס""א ירושלים|אס&quot;א ירושלים",אס"א ירושלים,#AA0000,#FFFFFF
אליצור שומרון,"אליצור שומרון|אליצור שומרון חלפ|אליצור שומרון להב",אליצור שומרון,#003399,#FFFFFF
אליצור נוה דוד רמלה,"אליצור נוה דוד רמלה|אליצור נווה דוד רמלה|אליצור נוה דוד רמלה נשים",אליצור רמלה,#FFD700,#000000
אליצור חולון,"אליצור חולון|אליצור חולון שמיר",אליצור חולון,#9933FF,#FFFFFF
אליצור תל אביב,"אליצור תל אביב|אליצור ת""א בגין",אליצור ת"א,#FF66CC,#000000
הפועל אילת,"הפועל אילת|הפועל אילת זהר",הפועל אילת,#0066CC,#FFFFFF
הפועל באר שבע/דימונה,"הפועל באר שבע/דימונה|הפועל באר שבע-דימונה|הפועל ב""ש/דימונה|הפועל ב""ש/דימונה אלט|הפועל ב""ש/דימונה אי.סי.אל.",ב"ש/דימונה,#CC0000,#FFFFFF
הפועל חיפה,"הפועל חיפה|הפועל נווה שאנן חיפה|הפועל נווה שאנן חיפה שובל",הפועל חיפה,#CC0000,#000000
הפועל חולון,"הפועל חולון|הפועל חולון יורם|הפועל סיטי מרקט חולון",הפועל חולון,#800080,#FFFFFF
הפועל גליל עליון,"הפועל גליל עליון|הפועל גליל גלבוע|הפועל גליל תבור|הפועל גליל עליון צפת",גליל עליון,#990000,#FFFFFF
הפועל מגדל העמק/יזרעאל,"הפועל מגדל העמק|הפועל מגדל העמק/יזרעאל|הפועל מגדל העמק-יזרעאל|הפועל מגדל העמק יזרע",הפועל מגדל העמק/יזרעאל,#0000CC,#FFFFFF
הפועל נהריה,"הפועל נהריה|עירוני נהריה",נהריה,#6600CC,#FFFFFF
עירוני נס ציונה,"עירוני נס ציונה|הפועל נס ציונה|הפועל נס ציונה חי מו|הפועל נס ציונה רוטנש|הפועל נס ציונה ליונס|הפועל נס ציונה לביאו|הפועל נס ציונה טל|הפועל נס ציונה תות|עירוני מ.רוטשטיין נס ציונה",נס ציונה,#FF5500,#FFFFFF
הפועל ראשון לציון,"הפועל ראשון לציון|ראשל""צ כלנית|ראשל""צ ורד|ראשל""צ יאיר|ראשל""צ איציק",ראשל"צ,#FF3300,#FFFFFF
הפועל ירושלים,"הפועל ירושלים עזרא",הפועל ירושלים,#AA0000,#FFFFFF
הפועל לב ירושלים,"הפועל לב ירושלים פארק בית הכרם|הפועל לב ירושלים צעירות|הפועל לב ירושלים",לב ירושלים,#AA0000,#FFFFFF
הפועל עמק חפר,"הפועל עמק חפר|הפועל עמק חפר אלטשול|הפועל עמק חפר רופין|הפועל אלטשולר שחם עמק חפר",עמק חפר,#FF6600,#000000
הפועל כפר סבא,"הפועל כפר סבא שלום|הפועל כפר סבא אביב|הפועל כפר סבא",כפר סבא,#33CC33,#000000
מ.כ עוטף דרום,"מ.כ עוטף דרום|מועדון כדורסל עוטף ד",עוטף דרום,#FFFFFF,#003399
מ.ס צפת,"מ.ס צפת|הפועל צפת/גליל דניאל|הפועל צפת גליל",צפת,#0033CC,#FFFFFF
מכבי אשדוד,"מכבי אשדוד|מכבי אשדוד נשים|מכבי אשדוד יאשה|מכבי אשדוד/גדרות|בית""ר אשדוד",אשדוד,#FFFF00,#003399
מכבי חיפה,"מכבי חיפה|מכבי חיפה גיא|מכבי חיפה גיא נתן|מכבי חיפה עתודה|מכבי חיפה אסי|מכבי חיפה הפניקס",מכבי חיפה,#009900,#FFFFFF
מכבי כרמיאל,"מכבי כרמיאל|מכבי כרמיאל בית הכרם|מכבי כרמיאל עירוני",מכבי כרמיאל,#0088CC,#FFFFFF
מכבי ראשון לציון,"מכבי ראשון לציון|ראשל""צ איציק|ראשל""צ נרקיס|ראשל""צ ורד|מכבי ראשל"צ איציק|מכבי ראשל""צ איציק",מכבי ראשל"צ,#FF3300,#FFFFFF
מכבי רעננה,"מכבי רעננה|מכבי רעננה עירוני",רעננה,#0066FF,#FFFFFF
מכבי רחובות,"מכבי רחובות|מכבי רחובות עומר",רחובות,#0000CC,#FFFFFF
מכבי פתח תקווה,"מכבי פתח תקווה|מכבי פתח תקווה מנדל|מכבי פתח תקוה נחמן",פתח תקווה,#000066,#FFFFFF
מכבי רמת גן,"מכבי רמת גן קבוצת כנ|מכבי עירוני רמת גן|מכבי רמת גן בליך|מכבי רמת גן רלי|מכבי רמת גן דני|מכבי רמת גן אהרון",ר"ג,#003399,#FFFFFF
מכבי קרית גת,"מכבי קרית גת|א.ס. אשקלון/קרית גת|א.ס. אשקלון-קרית גת",קרית גת,#0066CC,#FFFFFF
מכבי מעלה אדומים,"מכבי מעלה אדומים",מעלה אדומים,#3399FF,#000066
בנות פתח תקווה,"בנות פתח תקווה|בנות פתח תקווה בני",בנות פ"ת,#FF0099,#FFFFFF
בני יהודה,"בני יהודה|בני יהודה ציונטרוניק",בני יהודה,#FF9900,#000000
מכבי הוד השרון,"מכבי הוד השרון|מכבי הוד השרון לילך",הוד השרון,#0099FF,#FFFFFF
אליצור נתניה,"אליצור נתניה|אליצור עירוני נתניה|אליצור נתניה עירוני",אליצור נתניה,#FFFF00,#000000
עירוני אעבלין,"עירוני אעבלין",אעבלין,#0066CC,#FFFFFF
בני הרצליה,"בני הרצליה",בני הרצליה,#3366FF,#FFFFFF
הפועל מג'דל כרום,"הפועל מג'דל כרום",מג'דל כרום,#CC0000,#FFFFFF
מכבי תל אביב,"מכבי תל אביב|מכבי תל אביב נועה|מכבי תל אביב טדי",מכבי ת"א,#0033FF,#FFFF00
הפועל גלבוע מעיינות,"הפועל גלבוע מעיינות|הפועל גלבוע-מעיינות|הפועל גלבוע/מעיינות",גלבוע/מעיינות,#990000,#FFFFFF
עירוני קרית אונו,"עירוני קרית אונו|עירוני ק. אונו יורם",קרית אונו,#0066CC,#FFFFFF
מכבי חדרה,"מכבי חדרה|מכבי חדרה עמיחי",חדרה,#0066FF,#FFFFFF
הפועל חוף הכרמל,"הפועל חוף הכרמל",חוף הכרמל,#00AA66,#FFFFFF
עצמה מודיעין,"עצמה מודיעין",עצמה מודיעין,#FF6600,#FFFFFF
הפועל עמק יזרעאל,"הפועל עמק יזרעאל|הפועל מגדל יזרעאל|הפועל מגדל העמק יזרעאל",עמק יזרעאל,#0000CC,#FFFFFF
מכבי קבוצת כנען רמת גן,"מכבי קבוצת כנען רמת גן|מכבי כנען רמת גן|מכבי רמת גן",מכבי ר"ג,#FFD700,#000000
הפועל IBI תל אביב,"הפועל IBI תל אביב|הפועל IBI ת""א|הפועל איי.בי.איי תל אביב",הפועל IBI,#CC0000,#FFFFFF
הפועל בנק יהב ירושלים,"הפועל בנק יהב ירושלים|הפועל בנק יהב י-ם|הפועל יהב י-ם|הפועל בנק יהב י״ם",הפועל יהב,#AA0000,#FFFFFF
מכבי Rapyd תל אביב,"מכבי Rapyd תל אביב|מכבי רפיד תל אביב|מכבי רפיד ת""א",מכבי Rapyd,#FFCC00,#000000
הפועל Rivulis גליל עליון,"הפועל Rivulis גליל עליון|הפועל ריבוליס גליל עליון|הפועל ריבוליס",הפועל Rivulis,#009933,#FFFFFF
מכבי אב־גד רעננה,"מכבי אב־גד רעננה|מכבי אב-גד רעננה|מכבי אבגד רעננה",מכבי רעננה,#0066FF,#FFFFFF
הפועל גילת טלקום העמק,"הפועל גילת טלקום העמק|הפועל גילת העמק|הפועל העמק",הפועל העמק,#CC0000,#FFFFFF
אליצור BRIGA נתניה,"אליצור BRIGA נתניה|אליצור בריגה נתניה|אליצור בריגא נתניה",אליצור נתניה,#FF9900,#000000
הפועל אלטשולר שחם באר שבע/דימונה,"הפועל אלטשולר שחם באר שבע/דימונה|הפועל אלטשולר ב""ש|הפועל אלטשולר שחם ב""ש/דימונה",הפועל ב"ש,#CC0000,#FFFFFF
עירוני חי מוטורס נס ציונה,"עירוני חי מוטורס נס ציונה|עירוני חי-מוטורס נס ציונה|חי מוטורס נס ציונה",עירוני נ"צ,#0066CC,#FFFFFF
עירוני לאטי קריית אתא,"עירוני לאטי קריית אתא|עירוני לאטי ק. אתא|לאטי קריית אתא",עירוני ק"א,#6633CC,#FFFFFF
מכבי תפוזינה ראשון לציון,"מכבי תפוזינה ראשון לציון|מכבי תפוזינה ראשל""צ|מכבי ראשל""צ",מכבי ראשל"צ,#FF3300,#FFFFFF
הפועל נתנאל חולון,"הפועל נתנאל חולון|הפועל קבוצת נתנאל חולון",הפועל חולון,#800080,#FFFFFF
בני Penlink הרצליה,"בני Penlink הרצליה|בני פנלינק הרצליה|בני פן-לינק הרצליה",בני הרצליה,#3366FF,#FFFFFF
